Nombre del Audio,Frecuencia de Corte Óptima
G54_20180625_053000.wav,6019.405486852169
G54_20180622_225600.wav,5624.516478050182
G54_20180624_074500.wav,6063.896124046223
G54_20180625_013600.wav,5901.866755049622
G54_20180622_204800.wav,5953.7947890601035
G54_20180625_004800.wav,5912.457262695225
G54_20180624_084800.wav,5574.456525189147
G54_20180624_032800.wav,5686.255436712785
G54_20180623_083200.wav,5194.49796086797
G54_20180624_111200.wav,4823.342899009371
G54_20180623_013600.wav,5873.396459472471
G54_20180623_193000.wav,6032.0390012561975
G54_20180620_061500.wav,5589.2521449899805
G54_20180623_053000.wav,5921.833287560446
G54_20180624_040000.wav,6141.25615879117
G54_20180622_063000.wav,5997.990705465098
G54_20180625_080000.wav,6551.756364243374
G54_20180624_212000.wav,5857.584040398862
G54_20180624_083200.wav,5877.276474683022
G54_20180623_093600.wav,3662.4472314723553
G54_20180624_100800.wav,4603.54980045669
G54_20180623_232800.wav,5808.412577430929
G54_20180620_064500.wav,5848.452118378217
G54_20180621_194500.wav,6030.711305194721
G54_20180619_191500.wav,6127.60515080359
G54_20180625_020800.wav,5856.093949267646
G54_20180624_161600.wav,5545.882772463072
G54_20180623_164800.wav,5432.5198477906115
G54_20180620_174500.wav,5578.4307724133405
G54_20180624_053000.wav,6018.056507545567
G54_20180624_152800.wav,5523.423629086598
G54_20180624_081600.wav,5936.16355698863
G54_20180625_001600.wav,5916.642976799978
G54_20180625_061500.wav,5976.056405774057
G54_20180622_213600.wav,6172.822462504653
G54_20180623_095200.wav,3963.901434237301
G54_20180623_173000.wav,5471.384041059089
G54_20180624_180000.wav,5603.309409315649
G54_20180624_170000.wav,5432.74615789856
G54_20180622_054500.wav,5576.107932839168
G54_20180623_201600.wav,5988.0130686601115
G54_20180622_183000.wav,5803.729423520381
G54_20180621_070000.wav,6472.603276672695
G54_20180623_174500.wav,5489.848471397646
G54_20180625_084800.wav,5820.201637083128
G54_20180624_140800.wav,5717.663923884319
G54_20180624_184500.wav,5709.041774719388
G54_20180624_022400.wav,5754.107965341316
G54_20180624_041600.wav,6095.235200895303
G54_20180624_213600.wav,5995.101039305913
G54_20180620_060000.wav,5607.0154705372115
G54_20180624_120000.wav,5174.602626423025
G54_20180623_050000.wav,5965.004152212599
G54_20180619_170000.wav,5214.970316985508
G54_20180625_063000.wav,6411.228655680497
G54_20180625_012000.wav,5994.681648070956
G54_20180620_070000.wav,6120.0433177436735
G54_20180623_020800.wav,5595.045265837921
G54_20180621_171500.wav,5484.736921099024
G54_20180622_222400.wav,5872.308819830352
G54_20180625_120000.wav,5385.195845783427
G54_20180625_010400.wav,5943.791643554657
G54_20180624_064500.wav,6245.774612112378
G54_20180619_184500.wav,5729.242750874842
G54_20180625_133600.wav,5278.105498940806
G54_20180622_061500.wav,5974.048539452611
G54_20180623_051500.wav,5992.949900491093
G54_20180624_114400.wav,5374.336252928245
G54_20180623_161600.wav,5477.315080089562
G54_20180621_071500.wav,6473.5465520188945
G54_20180624_231200.wav,6020.055493991607
G54_20180623_200000.wav,6052.902948564801
G54_20180623_024000.wav,5777.486189379611
G54_20180621_061500.wav,6064.619839521006
G54_20180624_034400.wav,5968.896170969506
G54_20180625_093600.wav,4699.706883949818
G54_20180623_071500.wav,6475.970654792936
G54_20180621_183000.wav,5859.04030292064
G54_20180624_194500.wav,5950.036657512446
G54_20180624_181500.wav,5379.3635059362705
G54_20180625_145600.wav,5200.556430638819
G54_20180623_004800.wav,5634.082626341512
G54_20180623_231200.wav,6020.627685514148
G54_20180622_171500.wav,5583.655821914631
G54_20180619_180000.wav,5506.324685845366
G54_20180624_093600.wav,4550.24976557533
G54_20180624_215200.wav,5789.007906005801
G54_20180625_130400.wav,4899.058742398321
G54_20180623_225600.wav,5985.032387702372
G54_20180625_051500.wav,5844.999189911404
G54_20180623_044800.wav,5958.698081004573
G54_20180625_074500.wav,6654.1136314024525
G54_20180621_184500.wav,5582.465021456111
G54_20180623_212000.wav,6025.38919019098
G54_20180625_112800.wav,4772.296021421788
G54_20180624_232800.wav,5877.65346390702
G54_20180623_130400.wav,5097.832625799679
G54_20180624_031200.wav,5660.541243918513
G54_20180619_173000.wav,5230.859294216577
G54_20180620_063000.wav,5793.552775199749
