Nombre del Audio,Frecuencia de Corte Óptima
20220905_151500.WAV,25561.214961877828
20220905_110000.WAV,21953.56989363517
20220905_133000.WAV,23894.33634739712
20220905_130000.WAV,22931.945791341735
20220905_100000.WAV,22012.930108265155
20220905_134500.WAV,22719.859284302336
20220905_141500.WAV,27031.99111037947
20220905_103000.WAV,21978.34958470433
20220905_174500.WAV,22487.229328368972
20220905_111500.WAV,22020.392932660627
20220905_163000.WAV,22653.90375496811
20220905_144500.WAV,27022.44305267404
20220905_171500.WAV,22866.537645264652
20220905_101500.WAV,21904.21181369425
20220905_153000.WAV,24313.331039205084
20220905_114500.WAV,22312.652598704393
20220905_124500.WAV,24416.458637656815
20220905_180000.WAV,22885.043355516213
20220905_164500.WAV,23164.939728303427
20220905_121500.WAV,22336.70913388055
20220905_104500.WAV,21974.107930661678
20220905_143000.WAV,27214.185274006344
20220905_123000.WAV,23808.37186270458
20220905_161500.WAV,22693.328965966026
20220905_173000.WAV,22268.263674927617
20220905_170000.WAV,22864.67205436341
20220905_150000.WAV,27225.297362652753
20220905_160000.WAV,22526.858725391434
20220905_120000.WAV,22514.238225065234
20220905_131500.WAV,22626.4785600565
