Nombre del Audio,Frecuencia de Corte Óptima
20220905_123000.WAV,25442.885169141966
20220905_111500.WAV,23070.966494243443
20220905_093000.WAV,23713.061536124984
20220905_124500.WAV,25285.169916408904
20220905_153000.WAV,27125.68201411998
20220905_114500.WAV,22869.4560085411
20220905_101500.WAV,23083.641841560122
20220905_170000.WAV,25651.701021699493
20220905_160000.WAV,25351.132363414545
20220905_110000.WAV,25509.119809650692
20220905_144500.WAV,27132.55625305865
20220905_133000.WAV,26563.060851154954
20220905_163000.WAV,25091.5291890535
20220905_141500.WAV,27321.84810429407
20220905_120000.WAV,22925.903272751908
20220905_113000.WAV,22972.99809239681
20220905_121500.WAV,22853.546300225782
20220905_100000.WAV,23589.937648871368
20220905_154500.WAV,27422.60922864879
20220905_171500.WAV,25120.56556635677
20220905_094500.WAV,30144.810922905057
20220905_140000.WAV,26629.41168886016
20220905_150000.WAV,26615.69749106709
20220905_151500.WAV,26656.863599782766
20220905_134500.WAV,26835.64346798042
20220905_130000.WAV,24890.356828080505
20220905_131500.WAV,26518.993772442715
20220905_143000.WAV,27203.679942224226
20220905_161500.WAV,26790.352722209787
20220905_103000.WAV,23223.489873090766
