Nombre del Audio,Frecuencia de Corte Óptima
20220903_141500.WAV,26734.09836204887
20220903_171500.WAV,27322.28472796686
20220903_180000.WAV,16922.60581581293
20220903_121500.WAV,27077.521911317515
20220903_161500.WAV,27050.351677158924
20220903_113000.WAV,27733.545696614467
20220903_160000.WAV,26898.1907006385
20220903_151500.WAV,26643.601717145324
20220903_154500.WAV,27108.882397921127
20220903_150000.WAV,27053.65193810108
20220903_170000.WAV,27354.554753356348
20220903_120000.WAV,26876.13696739125
20220903_114500.WAV,27105.86808764122
20220903_110000.WAV,26498.19106351884
20220903_123000.WAV,26723.183483100158
20220903_140000.WAV,27356.11811949121
20220903_173000.WAV,27284.41873805842
20220903_133000.WAV,27196.602604465334
20220903_153000.WAV,26808.132229683706
20220903_134500.WAV,27527.310479079464
20220903_124500.WAV,26942.09863056342
20220903_130000.WAV,27070.833305558714
20220903_111500.WAV,22830.620883929067
20220903_131500.WAV,26950.98257376199
20220903_144500.WAV,26668.220789547533
20220903_164500.WAV,27293.57060768671
20220903_181500.WAV,26244.39689607068
20220903_163000.WAV,27269.024688057263
20220903_174500.WAV,23796.230720539716
20220903_143000.WAV,26910.49490970607
