Nombre del Audio,Frecuencia de Corte Óptima
20220903_163000.WAV,27157.248073626666
20220903_143000.WAV,26927.030017608602
20220903_151500.WAV,27094.388226385287
20220903_161500.WAV,26645.827140567475
20220903_160000.WAV,26935.277602045047
20220903_190000.WAV,24570.19448982919
20220903_130000.WAV,26851.123775811517
20220903_154500.WAV,27015.02382170544
20220903_114500.WAV,26946.138245217604
20220903_183000.WAV,24481.093979279794
20220903_140000.WAV,26915.233409165106
20220903_121500.WAV,27103.969508836304
20220903_113000.WAV,27146.683995634357
20220903_171500.WAV,27711.600841290325
20220903_131500.WAV,27157.172600029673
20220903_174500.WAV,27954.35182997927
20220903_134500.WAV,26923.453359240357
20220903_164500.WAV,27682.48560282987
20220903_133000.WAV,26994.49548633648
20220903_184500.WAV,23712.316866692367
20220903_173000.WAV,28173.575607420724
20220903_124500.WAV,26943.009694592467
20220903_153000.WAV,27022.833219554894
20220903_123000.WAV,27002.643911356463
20220903_144500.WAV,27021.85252716437
20220903_170000.WAV,27344.627697032658
20220903_150000.WAV,26977.172924972936
20220903_180000.WAV,25863.40632716432
20220903_120000.WAV,26946.973526430473
20220903_141500.WAV,27013.309664312685
