Nombre del Audio,Frecuencia de Corte Óptima
20220904_214500.WAV,24193.369287979865
20220905_004500.WAV,21359.42630981723
20220904_234500.WAV,25194.52617274615
20220904_201500.WAV,25073.867046053605
20220904_184500.WAV,27636.803583350036
20220904_180000.WAV,27930.40792829422
20220904_203000.WAV,25498.778792965564
20220904_194500.WAV,25992.918580212576
20220905_000000.WAV,26555.518984988066
20220904_204500.WAV,25726.195799322766
20220904_181500.WAV,27334.829664944555
20220905_010000.WAV,25944.039587277628
20220904_193000.WAV,26509.66403530486
20220904_200000.WAV,26056.188910059755
20220904_191500.WAV,26253.0494953637
20220905_001500.WAV,24508.124976861956
20220905_011500.WAV,21202.72248719984
20220904_190000.WAV,25043.111128377033
20220904_224500.WAV,25252.153882615417
20220904_173000.WAV,28470.133948168197
20220904_231500.WAV,24996.171073016303
20220904_220000.WAV,23721.143781621064
20220904_171500.WAV,28426.34624598416
20220904_233000.WAV,23675.69384663586
20220904_230000.WAV,24382.90624265198
20220904_211500.WAV,26319.919755683433
20220904_221500.WAV,23001.636565459576
20220904_183000.WAV,24255.12824687241
20220904_223000.WAV,27698.598992759693
20220904_210000.WAV,26509.075268088065
