Nombre del Audio,Frecuencia de Corte Óptima
20220903_130000.WAV,25600.728030607268
20220903_131500.WAV,26903.156129403713
20220903_141500.WAV,26032.844484419835
20220903_110000.WAV,28817.424038223613
20220903_164500.WAV,27151.081256223642
20220903_140000.WAV,25832.854832146288
20220903_134500.WAV,25775.342308858966
20220903_123000.WAV,26500.382725354193
20220903_153000.WAV,26147.323423936123
20220903_151500.WAV,26372.308929481285
20220903_180000.WAV,28969.440706390407
20220903_104500.WAV,28252.409004958452
20220903_120000.WAV,26312.37305428867
20220903_174500.WAV,28263.50133149923
20220903_154500.WAV,26305.84368744918
20220903_161500.WAV,26000.917117153098
20220903_170000.WAV,26711.659871151223
20220903_113000.WAV,26856.172887107197
20220903_173000.WAV,27546.73054655323
20220903_163000.WAV,25406.70778018593
20220903_111500.WAV,27367.799763631996
20220903_114500.WAV,27133.732190498777
20220903_133000.WAV,25988.797884879834
20220903_171500.WAV,26490.41600902983
20220903_160000.WAV,26408.85429274229
20220903_121500.WAV,26032.82372898437
20220903_144500.WAV,26605.074793949894
20220903_124500.WAV,25652.949573217793
20220903_150000.WAV,26540.063361783228
20220903_103000.WAV,27893.010596635664
